time = 1, 	elev[1]: level = 0.00, dir. = stay, ind. = up,   acceler. = uniform,  doors = closed       (pass.: )
time = 2, 	elev[1]: level = 0.00, dir. = up,   ind. = up,   acceler. = acceler., doors = closed       (pass.: )
time = 3, 	elev[1]: level = 0.05, dir. = up,   ind. = up,   acceler. = acceler., doors = closed       (pass.: )
time = 4, 	elev[1]: level = 0.13, dir. = up,   ind. = up,   acceler. = acceler., doors = closed       (pass.: )
time = 5, 	elev[1]: level = 0.25, dir. = up,   ind. = up,   acceler. = acceler., doors = closed       (pass.: )
time = 6, 	elev[1]: level = 0.50, dir. = up,   ind. = up,   acceler. = uniform,  doors = closed       (pass.: )
time = 7, 	elev[1]: level = 0.75, dir. = up,   ind. = up,   acceler. = uniform,  doors = closed       (pass.: )
time = 8, 	elev[1]: level = 1.00, dir. = up,   ind. = up,   acceler. = uniform,  doors = closed       (pass.: )
time = 9, 	elev[1]: level = 1.25, dir. = up,   ind. = up,   acceler. = uniform,  doors = closed       (pass.: )
time = 10, 	elev[1]: level = 1.50, dir. = up,   ind. = up,   acceler. = uniform,  doors = closed       (pass.: )
time = 11, 	elev[1]: level = 1.75, dir. = up,   ind. = up,   acceler. = uniform,  doors = closed       (pass.: )
time = 12, 	elev[1]: level = 2.00, dir. = up,   ind. = up,   acceler. = uniform,  doors = closed       (pass.: )
time = 13, 	elev[1]: level = 2.25, dir. = up,   ind. = up,   acceler. = uniform,  doors = closed       (pass.: )
time = 14, 	elev[1]: level = 2.50, dir. = up,   ind. = up,   acceler. = uniform,  doors = closed       (pass.: )
time = 15, 	elev[1]: level = 2.75, dir. = up,   ind. = up,   acceler. = uniform,  doors = closed       (pass.: )
time = 16, 	elev[1]: level = 3.00, dir. = up,   ind. = up,   acceler. = uniform,  doors = closed       (pass.: )
time = 17, 	elev[1]: level = 3.25, dir. = up,   ind. = up,   acceler. = uniform,  doors = closed       (pass.: )
time = 18, 	elev[1]: level = 3.50, dir. = up,   ind. = up,   acceler. = uniform,  doors = closed       (pass.: )
time = 19, 	elev[1]: level = 3.75, dir. = up,   ind. = up,   acceler. = uniform,  doors = closed       (pass.: )
time = 20, 	elev[1]: level = 4.00, dir. = up,   ind. = up,   acceler. = uniform,  doors = closed       (pass.: )
time = 21, 	elev[1]: level = 4.25, dir. = up,   ind. = up,   acceler. = uniform,  doors = closed       (pass.: )
time = 22, 	elev[1]: level = 4.50, dir. = up,   ind. = up,   acceler. = uniform,  doors = closed       (pass.: )
time = 23, 	elev[1]: level = 4.75, dir. = up,   ind. = up,   acceler. = uniform,  doors = closed       (pass.: )
time = 24, 	elev[1]: level = 5.00, dir. = up,   ind. = up,   acceler. = uniform,  doors = closed       (pass.: )
time = 25, 	elev[1]: level = 5.25, dir. = up,   ind. = up,   acceler. = uniform,  doors = closed       (pass.: )
time = 26, 	elev[1]: level = 5.50, dir. = up,   ind. = up,   acceler. = uniform,  doors = closed       (pass.: )
time = 27, 	elev[1]: level = 5.75, dir. = up,   ind. = up,   acceler. = uniform,  doors = closed       (pass.: )
time = 28, 	elev[1]: level = 6.00, dir. = up,   ind. = up,   acceler. = uniform,  doors = closed       (pass.: )
time = 29, 	elev[1]: level = 6.25, dir. = up,   ind. = up,   acceler. = uniform,  doors = closed       (pass.: )
time = 30, 	elev[1]: level = 6.50, dir. = up,   ind. = up,   acceler. = uniform,  doors = closed       (pass.: )
time = 31, 	elev[1]: level = 6.75, dir. = up,   ind. = up,   acceler. = uniform,  doors = closed       (pass.: )
time = 32, 	elev[1]: level = 7.00, dir. = up,   ind. = up,   acceler. = uniform,  doors = closed       (pass.: )
time = 33, 	elev[1]: level = 7.25, dir. = up,   ind. = up,   acceler. = uniform,  doors = closed       (pass.: )
time = 34, 	elev[1]: level = 7.50, dir. = up,   ind. = up,   acceler. = uniform,  doors = closed       (pass.: )
time = 35, 	elev[1]: level = 7.75, dir. = up,   ind. = up,   acceler. = uniform,  doors = closed       (pass.: )
time = 36, 	elev[1]: level = 8.00, dir. = up,   ind. = up,   acceler. = uniform,  doors = closed       (pass.: )
time = 37, 	elev[1]: level = 8.25, dir. = up,   ind. = up,   acceler. = uniform,  doors = closed       (pass.: )
time = 38, 	elev[1]: level = 8.50, dir. = up,   ind. = up,   acceler. = uniform,  doors = closed       (pass.: )
time = 39, 	elev[1]: level = 8.75, dir. = up,   ind. = up,   acceler. = uniform,  doors = closed       (pass.: )
time = 40, 	elev[1]: level = 9.00, dir. = up,   ind. = up,   acceler. = uniform,  doors = closed       (pass.: )
time = 41, 	elev[1]: level = 9.25, dir. = up,   ind. = up,   acceler. = uniform,  doors = closed       (pass.: )
time = 42, 	elev[1]: level = 9.50, dir. = up,   ind. = up,   acceler. = uniform,  doors = closed       (pass.: )
time = 43, 	elev[1]: level = 9.75, dir. = up,   ind. = up,   acceler. = uniform,  doors = closed       (pass.: )
time = 44, 	elev[1]: level = 10.00, dir. = up,   ind. = up,   acceler. = uniform,  doors = closed       (pass.: )
time = 45, 	elev[1]: level = 10.25, dir. = up,   ind. = down, acceler. = uniform,  doors = closed       (pass.: )
time = 46, 	elev[1]: level = 10.50, dir. = up,   ind. = down, acceler. = uniform,  doors = closed       (pass.: )
time = 47, 	elev[1]: level = 10.75, dir. = up,   ind. = down, acceler. = uniform,  doors = closed       (pass.: )
time = 48, 	elev[1]: level = 10.87, dir. = up,   ind. = down, acceler. = breaking, doors = closed       (pass.: )
time = 49, 	elev[1]: level = 10.95, dir. = up,   ind. = down, acceler. = breaking, doors = closed       (pass.: )
time = 50, 	elev[1]: level = 11.00, dir. = up,   ind. = down, acceler. = breaking, doors = closed       (pass.: )
time = 51, 	elev[1]: level = 11.00, dir. = stay, ind. = down, acceler. = uniform,  doors = closed       (pass.: )
time = 52, 	elev[1]: level = 11.00, dir. = dn,   ind. = down, acceler. = acceler., doors = closed       (pass.: )
time = 53, 	elev[1]: level = 10.95, dir. = dn,   ind. = down, acceler. = acceler., doors = closed       (pass.: )
time = 54, 	elev[1]: level = 10.87, dir. = dn,   ind. = down, acceler. = acceler., doors = closed       (pass.: )
time = 55, 	elev[1]: level = 10.75, dir. = dn,   ind. = down, acceler. = acceler., doors = closed       (pass.: )
time = 56, 	elev[1]: level = 10.50, dir. = dn,   ind. = down, acceler. = uniform,  doors = closed       (pass.: )
time = 57, 	elev[1]: level = 10.25, dir. = dn,   ind. = down, acceler. = uniform,  doors = closed       (pass.: )
time = 58, 	elev[1]: level = 10.13, dir. = dn,   ind. = down, acceler. = breaking, doors = closed       (pass.: )
time = 59, 	elev[1]: level = 10.05, dir. = dn,   ind. = down, acceler. = breaking, doors = closed       (pass.: )
time = 60, 	elev[1]: level = 10.00, dir. = dn,   ind. = down, acceler. = breaking, doors = closed       (pass.: )
time = 61, 	elev[1]: level = 10.00, dir. = stay, ind. = down, acceler. = uniform,  doors = closed       (pass.: )
time = 62, 	elev[1]: level = 10.00, dir. = dn,   ind. = down, acceler. = acceler., doors = closed       (pass.: )
time = 63, 	elev[1]: level = 9.95, dir. = dn,   ind. = down, acceler. = acceler., doors = closed       (pass.: )
time = 64, 	elev[1]: level = 9.87, dir. = dn,   ind. = down, acceler. = acceler., doors = closed       (pass.: )
time = 65, 	elev[1]: level = 9.75, dir. = dn,   ind. = down, acceler. = acceler., doors = closed       (pass.: )
time = 66, 	elev[1]: level = 9.50, dir. = dn,   ind. = down, acceler. = uniform,  doors = closed       (pass.: )
time = 67, 	elev[1]: level = 9.25, dir. = dn,   ind. = down, acceler. = uniform,  doors = closed       (pass.: )
time = 68, 	elev[1]: level = 9.13, dir. = dn,   ind. = down, acceler. = breaking, doors = closed       (pass.: )
time = 69, 	elev[1]: level = 9.05, dir. = dn,   ind. = down, acceler. = breaking, doors = closed       (pass.: )
time = 70, 	elev[1]: level = 9.00, dir. = dn,   ind. = down, acceler. = breaking, doors = closed       (pass.: )
